id;categoryId;title;summary;details;external_link
h1;habitat;H1. Diminuer la constructibilité;Réduire les zones U et limiter les résidences secondaires.;Réduire les zones constructibles (Zones U) et appliquer la loi Le Meur pour interdire toute construction supplémentaire de résidences secondaires.;
h2;habitat;H2. Maîtriser les densités;Stopper l'étalement urbain et l'habitat diffus.;Encadrer strictement l'habitat diffus et les lotissements périphériques. Rendre obligatoire une notice urbanistique opposable valorisant la mixité, les jardins et les espaces communs.;
h3;habitat;H3. Préserver les espaces agricoles;Protéger les Rougières et appliquer la Loi Climat.;Créer des zones agricoles protégées (ZAP), appliquer l'objectif de réduction de consommation d'espaces (Loi Climat) et redonner une vocation agricole à la zone des Rougières.;
h4;habitat;H4. Préserver le patrimoine bâti;Protéger le petit patrimoine avec les habitants.;Inventorier le 'petit patrimoine' non classé avec l'aide des citoyens et travailler avec l'Architecte des Bâtiments de France pour imposer des règles de protection cohérentes aux promoteurs.;
h5;habitat;H5. Appliquer la Loi Littoral;Limiter strictement les extensions en bord de mer.;Zéro dérogation : limiter drastiquement les nouvelles constructions et les extensions en bord de mer pour préserver la valeur paysagère et la biodiversité.;
h6;habitat;H6. Sauvegarder les espaces sensibles;Protection absolue (MGEN, Gapeau, La Badine).;Ces sites emblématiques (MGEN, Gapeau, La Badine) doivent être totalement préservés. Nous tendrons vers des densités plus faibles et des zones inconstructibles.;
h7;habitat;H7. Limiter le trafic vers la presqu'île;Désengorger la Tour Fondue et Giens.;Déplacer les flux de l'embarcadère de la Tour Fondue vers le port d'Hyères en affrétant plus de navettes au départ du port et envisager à terme la fermeture de la route du Sel à la circulation automobile.;
h8;habitat;H8. Zéro construction en zone à risque;Interdiction totale, même en surélevant.;Délimiter des zones rouges strictes où toute nouvelle construction est interdite (même surélevée) face à l'aggravation des risques d'inondation.;
h9;habitat;H9. Révision du PPRI;Une priorité absolue du mandat.;Mettre à jour en priorité le Plan de Prévention des Risques d'Inondation (PPRI) pour tenir compte de l'imperméabilisation des sols et des épisodes pluvieux intenses.;
h10;habitat;H10. Anticiper le retrait du trait de côte;Définir des zones d'études prospectives.;Identifier clairement dans le PLU les zones menacées par la montée des eaux et le recul du trait de côte pour geler les projets à risque.;
h11;habitat;H11. Projets pilotes de relocalisation;Une logique de solidarité face aux risques.;Lancer des projets pilotes d'adaptation ou de relocalisation pour les habitants menacés par les risques littoraux, dans une logique solidaire et responsable.;
h12;habitat;H12. Réduire les îlots de chaleur;Végétalisation massive (50-150€/m²).;Remplacer les matériaux urbains inadaptés et créer des îlots de fraîcheur sur l'espace public par une végétalisation massive.;
h13;habitat;H13. Rénover les bâtiments publics;Isolation et 'Free Cooling'.;Investir (200 à 500€/m²) pour adapter les écoles et bâtiments publics aux fortes chaleurs : isolation renforcée, protections solaires et surventilation nocturne.;
h14;habitat;H14. Taxe Logements Vacants (TLV);Mobiliser les 2600 logements vides.;Appliquer la Taxe sur les Logements Vacants (TLV) (17% la 1ère année, puis 34%) pour inciter à la mise en location. Les recettes seront reversées à l'ANAH pour financer la rénovation.;
h15;habitat;H15. Opération Réhabilitation;Aider les propriétaires (MaPrimeRénov).;Lancer une campagne massive pour remettre les logements vacants sur le marché via les dispositifs MaPrimeRénov et LocAvantages (Coût pour la ville : 0€).;
h16;habitat;H16. Réinvestir les amendes SRU;Acheter dans le centre-ville.;Utiliser les 318 000€ d'amendes annuelles (loi SRU) pour préempter et rénover des immeubles anciens du centre-ville au lieu de payer des pénalités à l'État.;
h17;habitat;H17. Hausse Taxe Résidences Secondaires;Passer de 12% à 20% (Zone Tendue).;Passer la taxe d'habitation sur les résidences secondaires de 12,02% à 20% pour générer 1,5M€ de recettes supplémentaires par an dédiées au logement abordable.;
h18;habitat;H18. Coopérative Foncière (BRS);Logements abordables à vie.;Créer un Organisme Foncier Solidaire (OFS) : la collectivité garde le terrain, l'habitant achète les murs avec une décote de 30% à 50% (Bail Réel Solidaire).;
h19;habitat;H19. Renouvellement Val des Rougières;Plan ANRU sur 15 ans.;Engager un plan type ANRU pour requalifier totalement le quartier du Val des Rougières et améliorer la qualité de vie (Investissement estimé : 24€/habitant/an pendant 15 ans).;
h20;habitat;H20. Hébergement Saisonniers & Jeunes;Auberges de jeunesse et Tiers-lieux.;Soutenir le développement de solutions d'hébergement dignes et hybrides (auberges adossées à des tiers-lieux) pour les travailleurs saisonniers et les jeunes.;
m1;mobilites;M1. Responsable Vélo;Un pilotage réactif à la mairie et métropole.;Recrutement d'un chargé de mission pour coordonner infrastructures et communication. Création de synergies avec la métropole pour accélérer les projets.;
m2;mobilites;M2. Partager les compétences;Formation des agents et Police Municipale.;Former un référent à chaque échelon et former 5% de la Police Municipale (6 agents) à la mobilité cycliste (Brevet FUB) pour une sécurité de proximité.;
m3;mobilites;M3. Intelligence Collective;Un Comité de Pilotage participatif (COPIL).;Associer les usagers et associations à chaque étape via un COPIL et publier un bilan de performance public deux fois par an pour ajuster la politique.;
m4;mobilites;M4. Location Vélo Gare;Transformer 5 places de parking.;Créer un espace de location de 50 à 100m² au sein du futur pôle multimodal en partenariat avec des loueurs privés, sans subvention publique (Coût 0€).;
m5;mobilites;M5. Employeur Pro-Vélo;Viser le niveau Or pour la Mairie.;Engagement immédiat de la municipalité dans la démarche 'Employeur Pro-Vélo' pour faire de la collectivité un modèle de mobilité durable.;
m6;mobilites;M6. Promotion dynamique;Communication et Fête du vélo.;Promouvoir les mobilités actives dans toutes les communications municipales et organiser des événements réguliers et ambitieux.;
